>WELL NAME    SPUD DATE       BASIN
>Anderdon 1             Jan-85Browse
-12.64641611     124.7965931
>Anson 1                Aug-90Browse
-12.50297222     124.8035
>Arqubus 1              Sep-91Browse
-15.31443889     121.4914528
>Ashmore reef           Oct-67Browse
-12.18047222     123.0862778
>Asteras 1             Jun-87Browse
-13.15227778     124.1199722
>Augustus 1             Dec-90Vulcan
-11.69206389     124.9528722
>Avocet 1A              Aug-86Browse
-11.37277778     125.755
>Barita 1               Sep-86Bonaparte
-11.44331944     125.7281889
>Bassett 1a             Jun-78Browse
-13.31121667     123.4265944
>Birch 1                Jul-90Browse
-12.46121667     124.4954
>Brown Gannet           Mar-72Bonaparte
-12.10805556     123.8561111
>Bougainville           Feb-72Bonaparte
-13.77358333     129.0418056
>Billawock 1            Sep-92Bonaparte
-13.47369722     129.7556417
>Buffon 1
-13.3925024    122.1845031
>Cambridge 1            Aug-84Bonaparte
-14.29043056     128.4326389
>Cartier 1              Aug-88Timor sea
-12.24416667     123.9402778
>Copernicus 1           Sep-93Browse
-13.28298917     124.2771508
>Crane 1                Mar-86Bonaparte
-12.12576667     125.6281694
>Curringa 1             May-82Canning
-16.83291944     122.7416333
>Curlew 1               Nov-74Bonaparte
-11.77055556     128.2638889
>Cygnet 1               Sep-86Bonaparte
-11.896125       125.9390306
>Darwinia 1a            Jul-85Bonaparte
-11.44185556     127.9347667
>Dillon Shoals          Feb-74Bonaparte
-11.23926389     125.4469972
>Douglas 1              Oct-90Vulcan
-11.80001111     124.9405611
>Drake 1                Aug-87Bonaparte
-11.28501389     125.8354361
>Eclipse 1              Mar-84Browse
-12.27149444     124.6188131
>Eider 1                Aug-72Bonaparte
-11.39138889     125.7463889
>East Swan 1            Jan-78Bonaparte
-12.30196778     124.5822494
>Flamingo 1             Aug-71Timor sea
-11.02611111     126.4819444
>Flat Top 1             Jan-70Bonaparte
-12.37647222     129.2655278
>Grebe 1                May-79Bonaparte
-12.45111111     124.2494444
>Gull 1                 Jun-70Bonaparte
-11.94138889     127.9102778
>Hadrian 1              Aug-91Timor sea
-11.67475833     124.9867819
>Heron 1                Sep-71Bonaparte
-10.44083333     128.9513889
>Heywood 1              Apr-74Browse
-13.46268333     124.066725
>Ibis 1                 May-86Bonaparte
-12.06202222     125.3464917
>Jabiru 1A              Aug-83Timor sea
-11.93356111     125.0040806
>Jacaranda 1            Jun-84Bonaparte
-11.47094917     128.1639739
>Kambara 1              Oct-82Canning
-16.74301111     122.4375778
>Keeling 1              Dec-89Vulcan
-12.62053889     124.1650444
>Keep River 1           Sep-68Bonaparte
-14.03361444     124.1650444
>Kimberley 1            Nov-90Vulcan
-12.60291667     124.3830556
>Kinmore 1              Jul-74Bonaparte
-14.03361444     129.2624478
>Kulshill 1             Jun-65Bonaparte
-14.37055556     129.5425
>Kulshill 2             Jun-66Bonaparte
-14.405          129.5444444
>Lacrosse 1               1969Bonaparte
-12.71666667     128.0
>Langhorne 1            Jan-91Browse
-24.76555556     124.3656972
>Leeuwin 1              Nov-91Browse
-12.71120833     124.5850889
>Lesueur 1              May-80Bonaparte
-13.95261722     128.1259061
>Leveque 1              Aug-70Browse
-15.75345833     122.0049444
>Lombardina 1              May-74Browse
-15.28894167     121.3706361
>Longleat 1             Feb-91Browse
-12.5637         124.7421
>Lorikeet 1             Aug-88Browse
-11.17367778     125.6179861
>Lucas 1                Apr-90Browse
-12.26028333     124.1338083
>Maret 1                Dec-91Browse
-12.76508611     124.3656194
>Matilda 1              Feb-85Bonaparte
-14.45482778     128.7497472
>Minotaur 1             Jul-94Timor Sea
-10.74749139     126.9747622
>Montara 1              May-88Browse
-12.68935        124.5316611
>Montara 2              Sep-91Browse
-12.6994         124.5255139
>Moongana 1             Jan-80Canning
-16.93805556     122.6908333
>Moyle 1                Jul-66Bonaparte
-14.31944444     129.7752778
>Mt Ashmore 1            Jul-80Browse
-12.56008056     123.2061444
>Nancar 1               Apr-89Timor Sea
-10.98907667     125.7511397
>Napier 1               May-70Canning
-16.91666667     124.0930556
>Newby 1                Dec-69Bonaparte
-11.83527778     129.1019444
>Nome 1                 Apr-86Browse
-11.65527056     125.2212917
>Nth Hibernia           Oct-73Browse
-11.67195278     123.3247417
>North Scott 1            Feb-82Browse
-13.94845278     121.9754306
>Octavius 1             Jan-90Timor Sea
-11.84721667     124.9107111
>Octavius 2             Dec-91Timor Sea
-11.86210833     124.9056722
>Oliver 1               Nov-87Browse
-11.6448         125.0089
>Osprey 1               Dec-71Bonaparte
-12.21916667     125.2208333
>Paqualin 1             Dec-88Browse
-11.98060778     124.5070453
>Peewit 1               Sep-84Bonaparte
-12.65614444     126.0208944
>Pender 1               May-72Canning
-16.68           122.835
>Pengana 1              Apr-88Browse
-11.89143889     125.0289611
>Perindi 1              May-83Canning
-16.82838628     122.2631484
>Plover 1               Nov-72Browse
-12.71258333     126.3686167
>Pollard 1              Jul-84Vulcan
-11.66461944     124.5687361
>Prion 1                Jul-74Bonaparte
-12.40444444     124.1519444
>Prudhoe 1              Sep-74Browse
-13.74881944     123.8642028
>Puffin 1               Apr-72Bonaparte
-12.30833333     124.3336111
>Rainbow 1              Mar-85Bonaparte
-11.93795778     124.3319128
>Sahul Shoals           Dec-69Bonaparte
-11.42666667     124.5472222
>Shearwater 1           Sep-74Bonaparte
-10.51361111     128.3102778
>Skua 1                 Nov-74Bonaparte
-12.50527778     124.4327778
>Skua 2                 Nov-85Bonaparte
-12.50951639     124.4043469
>Skua 3                 Nov-87Vulcan
-12.50612194     124.4146633
>Sunrise 1              Dec-74Bonaparte
-9.590097222     128.1537889
>Swan 1                 Dec-72Bonaparte
-12.18805556     124.4927778
>Swan 2                 Jan-80Bonaparte
-12.19472694     124.4956767
>Swift 1                Dec-84Bonaparte
-12.53735667     124.4515078
>Talbot 1               Nov-89Browse
-12.45315556     124.8815861
>Taltarni 1             Aug-89Browse
-12.611275       124.5795306
>Tamar 1                Feb-79Browse
-11.87091667     126.2111389
>Tappers Inlet          Jun-71Canning
-16.85916667     122.5888889
>Troubadour 1           Jun-74Bonaparte
-9.734394444     128.1237528
>Turnstone 1            Aug-74Bonaparte
-11.73698333     125.2959333
>Voltaire 1             Nov-88Browse
-11.19335278     125.331985
>Vulcan 1               Apr-82Bonaparte
-12.24264167     124.5503389
>Warb 1                 Feb-92Timor Sea
-11.64107778     124.6101111
>Weaber 1               Sep-82Bonaparte
-15.35395        129.1313889
>Whimbrel 1             Apr-74Bonaparte
-12.4843         125.3771806
>Woodbine 1             Mar-79Browse
-12.64520556     124.1470722
>Yampi 1                Jun-73Browse
-14.55888889     123.2760778
>Yering 1              Apr-90Timor Sea
-12.61301667     124.5669222
> Bedout 1	Bedout Sub-Basin
-18.2431186 	119.3909446
> Barcoo 1 	Browse basin
-15.3422552 	120.6380158
> Brigadier 1	Dampier Sub-Basin
-19.095576 	116.137308
> Phoenix 1	Bedout Sub-Basin
-18.633958 	118.7867237
> Delambre 1	Dampier Sub-basin
-18.5168471	116.6981656
> Eastmermaid 1B	Rowley Basin
-17.1654178 119.8238756
>Gandara 1	Carnarvon Basin
-19.273949 	115.822199
>Lagrange 1 	Canning Basin
-18.2729279 	119.3033201
>Minilya 1	Bedout Sub-basin
-18.3233157	118.7337474
>Phoenix-1 	Bedout Sub-basin
-18.633958 	118.7867237
>Ronsard-1	Carnarvon Basin
-19.140505 117.162072
>Saturn 1	Exmouth Plateau
-19.9085912 	114.9459987
